"Step","vital-cosmos-120 - trial_state/config.vdw_a","vital-cosmos-120 - trial_state/config.vdw_a__MIN","vital-cosmos-120 - trial_state/config.vdw_a__MAX"
"1","610711.8153944612","610711.8153944612","610711.8153944612"
"2","693318.5936883092","693318.5936883092","693318.5936883092"
"3","737831.0941159725","737831.0941159725","737831.0941159725"
"4","769744.5007041097","769744.5007041097","769744.5007041097"
"5","600074.2862001061","600074.2862001061","600074.2862001061"
"6","625694.7519257665","625694.7519257665","625694.7519257665"
"7","712962.3606801033","712962.3606801033","712962.3606801033"
"8","783066.350966692","783066.350966692","783066.350966692"
"9","699990.2281214847","699990.2281214847","699990.2281214847"
"10","765077.8223495767","765077.8223495767","765077.8223495767"
"11","772662.6525952003","772662.6525952003","772662.6525952003"
"12","682183.1867098808","682183.1867098808","682183.1867098808"
"13","668387.9444375634","668387.9444375634","668387.9444375634"
"14","682262.2108643117","682262.2108643117","682262.2108643117"
"15","657648.3599841595","657648.3599841595","657648.3599841595"
"16","775608.5071772271","775608.5071772271","775608.5071772271"
"17","698409.9769964814","698409.9769964814","698409.9769964814"
"18","670431.6044226289","670431.6044226289","670431.6044226289"
"19","648928.0983805656","648928.0983805656","648928.0983805656"
"20","795111.4574447274","795111.4574447274","795111.4574447274"
"21","635394.1397741437","635394.1397741437","635394.1397741437"
"22","711587.2832015157","711587.2832015157","711587.2832015157"
"23","615592.6503241062","615592.6503241062","615592.6503241062"
"24","781242.2417104244","781242.2417104244","781242.2417104244"
"25","628268.2445149705","628268.2445149705","628268.2445149705"
"26","720373.0769455433","720373.0769455433","720373.0769455433"
"27","743183.870613575","743183.870613575","743183.870613575"
"28","722832.7989578247","722832.7989578247","722832.7989578247"
"29","748248.7387955189","748248.7387955189","748248.7387955189"
"30","623715.9483134747","623715.9483134747","623715.9483134747"
"31","758327.6867866516","758327.6867866516","758327.6867866516"
"32","695986.850745976","695986.850745976","695986.850745976"
"33","785526.0491371155","785526.0491371155","785526.0491371155"
"34","672695.9781721234","672695.9781721234","672695.9781721234"
"35","678611.9788885117","678611.9788885117","678611.9788885117"
"36","667591.7386117583","667591.7386117583","667591.7386117583"
"37","790674.6501103044","790674.6501103044","790674.6501103044"
